property_type,society,sector,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Price_in_Crore,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,m3m heights,sector 65,15794.0,Super Built up area 1260(117.06 sq.m.),1260.0,2.0,2,2,26.0,,Under Construction,1.99,1260.0,,,0,0,0,0,0,0,48,630.0
flat,trisara our homes 3,sohna road,4339.0,Built Up area: 484 (44.97 sq.m.),484.0,1.0,1,0,2.0,,Undefined,0.21,,484.0,,0,0,0,0,0,0,0,484.0
flat,sare crescent parc,sector 92,5000.0,Super Built up area 1000(92.9 sq.m.),1000.0,2.0,2,3,2.0,,Moderately Old,0.5,1000.0,,,0,0,0,0,0,0,38,500.0
flat,breez global heights,sohna road,6422.0,Super Built up area 623(57.88 sq.m.),654.0,2.0,2,2,2.0,,New Property,0.42,623.0,,,0,0,0,0,0,0,73,327.0
flat,godrej air,sector 85,14541.0,Super Built up area 1400(130.06 sq.m.)Carpet area: 894 sq.ft. (83.06 sq.m.),894.0,2.0,2,3,30.0,,Under Construction,1.3,,,894.0,0,0,0,0,0,0,111,447.0
flat,emaar mgf emerald estate,sector 65,12401.0,Super Built up area 1395(129.6 sq.m.),1395.0,3.0,3,3,9.0,North-West,Relatively New,1.73,1395.0,,,0,1,0,0,0,1,159,465.0
flat,mapsko royale ville,sector 82,6425.0,Super Built up area 1790(166.3 sq.m.),1790.0,3.0,4,2,15.0,North-East,Relatively New,1.15,1790.0,,,0,1,0,1,0,2,104,596.6666666666666
flat,godrej oasis,sector 88a,8367.0,Super Built up area 161Carpet area: 108.4 sq.m.,1733.0,2.0,2,3+,9.0,,Relatively New,1.45,,,108.4,1,0,0,0,0,1,85,866.5
flat,gls avenue 51,sector 92,6000.0,Carpet area: 750 (69.68 sq.m.),750.0,3.0,3,1,10.0,North-East,Relatively New,0.45,,,750.0,0,0,0,0,0,0,0,250.0
flat,smart world orchard,sector 61,13739.0,Carpet area: 1150 (106.84 sq.m.),1150.0,2.0,2,2,3.0,South,New Property,1.58,,,1150.0,1,0,0,0,0,0,15,575.0
flat,dlf the ultima,sector 81,14603.0,Super Built up area 2100(195.1 sq.m.)Carpet area: 1575 sq.ft. (146.32 sq.m.),1575.0,3.0,4,3+,27.0,East,Relatively New,2.3,,,1575.0,0,1,0,0,0,2,119,525.0
flat,paras irene,sector 70a,8451.0,Super Built up area 1420(131.92 sq.m.),1420.0,2.0,2,3,6.0,North-East,Moderately Old,1.2,1420.0,,,0,0,0,0,0,0,42,710.0
flat,dlf the ultima,sector 81,11175.0,Super Built up area 2103(195.38 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),2103.0,3.0,3,3+,14.0,South,Relatively New,2.35,,1550.0,1257.0,1,1,0,1,1,1,49,701.0
flat,orchid petals,sector 49,11887.0,Super Built up area 2061(191.47 sq.m.),2061.0,3.0,3,3,0.0,North-East,Relatively New,2.45,2061.0,,,1,0,0,0,0,0,49,687.0
flat,spaze privy at,sector 84,7453.0,Super Built up area 1610(149.57 sq.m.),1610.0,2.0,2,3,3.0,,Relatively New,1.2,1610.0,,,1,0,0,0,0,2,133,805.0
house,independent,sector 12,,Plot area 150(125.42 sq.m.)Built Up area: 2052 sq.yards (1715.73 sq.m.),1105.0,2.0,5,1,3.0,,Old Property,,,2052.0,,0,0,0,0,0,0,31,552.5
flat,ss the leaf,sector 85,7683.0,Super Built up area 2408(223.71 sq.m.),2408.0,3.0,4,3,2.0,North,Relatively New,1.85,2408.0,,,1,1,0,0,0,2,49,802.6666666666666
flat,tulip white,sector 69,6000.0,Super Built up area 1500(139.35 sq.m.)Built Up area: 1326 sq.ft. (123.19 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),1500.0,3.0,2,3+,1.0,West,Relatively New,0.9,,1326.0,1050.0,0,0,0,0,0,2,149,500.0
flat,la vida by tata housing,sector 113,10335.0,Super Built up area 2690(249.91 sq.m.)Built Up area: 2350 sq.ft. (218.32 sq.m.)Carpet area: 2170 sq.ft. (201.6 sq.m.),2690.0,3.0,4,3+,5.0,North-East,Relatively New,2.78,,2350.0,2170.0,0,1,0,0,0,0,174,896.6666666666666
house,independent,sector 23,,Plot area 2000(185.81 sq.m.),2000.0,3.0,3,2,2.0,North-East,Moderately Old,,,2000.0,,0,0,1,1,0,0,28,666.6666666666666
house,international city by sobha phase 2,sector 109,,Plot area 270(225.75 sq.m.),2430.0,4.0,5,3+,3.0,North-East,New Property,,,2430.0,,1,1,1,1,0,0,138,607.5
flat,vatika gurgaon,sector 83,6667.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 1154 sq.ft. (107.21 sq.m.)Carpet area: 945 sq.ft. (87.79 sq.m.),1245.0,2.0,2,2,12.0,North,Relatively New,0.83,,1154.0,945.0,0,0,0,1,0,0,165,622.5
flat,sbtl caladium,sector 109,6542.0,Super Built up area 1880(174.66 sq.m.),1926.0,3.0,2,3,8.0,North-East,Relatively New,1.26,1880.0,,,0,0,0,0,0,0,103,642.0
house,independent,sector 31,,Plot area 161(134.62 sq.m.),1449.0,4.0,4,3,2.0,North-East,Old Property,,,1449.0,,0,0,1,0,0,2,70,362.25
flat,lagoon apartment,ambience island,12000.0,Carpet area: 2500 (232.26 sq.m.),2500.0,3.0,4,3,2.0,,Moderately Old,3.0,,,2500.0,0,0,0,0,0,0,0,833.3333333333334
flat,tulip violet,sector 69,8967.0,Super Built up area 1538(142.88 sq.m.),1539.0,3.0,3,1,12.0,West,Relatively New,1.38,1538.0,,,0,0,0,1,0,0,86,513.0
flat,shapoorji pallonji joyville gurugram,sector 102,10383.0,Built Up area: 915 (85.01 sq.m.)Carpet area: 858 sq.ft. (79.71 sq.m.),915.0,2.0,2,2,14.0,North-West,Undefined,0.95,,915.0,858.0,0,0,0,0,0,0,0,457.5
flat,signature the serenas,sohna road,57.0,Carpet area: 48811 (4534.69 sq.m.),49123.0,1.0,1,2,1.0,North-West,Relatively New,0.28,,,48811.0,1,0,0,0,0,0,37,49123.0
flat,rof ananda,sector 95,5500.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 745 sq.ft. (69.21 sq.m.),1000.0,3.0,2,2,14.0,East,New Property,0.55,,,745.0,1,0,0,0,0,1,30,333.3333333333333
flat,m3m golfestate,sector 65,18139.0,Super Built up area 3363(312.43 sq.m.)Carpet area: 2710 sq.ft. (251.77 sq.m.),3363.0,3.0,3,3,19.0,North-East,Moderately Old,6.1,,,2710.0,1,1,0,0,0,2,174,1121.0
flat,dlf the ultima,sector 81,10699.0,Super Built up area 2103(195.38 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),2103.0,3.0,3,3+,11.0,North-East,Relatively New,2.25,,1600.0,1257.0,1,1,0,1,1,1,49,701.0
house,independent,sector 25,,Plot area 150(125.42 sq.m.),1350.0,2.0,4,3,3.0,North,Old Property,,,1350.0,,0,0,0,0,0,0,40,675.0
flat,shree vardhman victoria,sector 70,8359.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),1950.0,3.0,3,3,5.0,East,New Property,1.63,,,1161.0,0,1,0,0,1,0,49,650.0
flat,tulip violet,sector 69,8731.0,Super Built up area 1970(183.02 sq.m.),1970.0,4.0,4,1,12.0,North-East,Relatively New,1.72,1970.0,,,0,0,0,0,0,0,86,492.5
flat,sidhartha ncr greens,sector 95,5657.0,Super Built up area 990(91.97 sq.m.),990.0,2.0,2,3,13.0,,New Property,0.56,990.0,,,0,0,0,0,0,0,8,495.0
flat,proxima tower,sector 37c,4601.0,Super Built up area 1304(121.15 sq.m.),1304.0,2.0,2,3,5.0,,Under Construction,0.6,1304.0,,,1,0,0,1,0,0,55,652.0
flat,unitech south park,sector 70,7001.0,Super Built up area 1610(149.57 sq.m.),1614.0,3.0,3,2,1.0,,Under Construction,1.13,1610.0,,,0,0,0,0,0,0,46,538.0
flat,bptp park generations,sector 37d,9868.0,Super Built up area 1520(141.21 sq.m.),1520.0,3.0,2,3+,17.0,North-East,Relatively New,1.5,1520.0,,,0,0,0,0,0,0,42,506.6666666666667
flat,dlf new town heights,sector 91,6346.0,Super Built up area 2364(219.62 sq.m.),2600.0,4.0,4,3+,11.0,West,Moderately Old,1.65,2364.0,,,0,1,0,0,0,0,72,650.0
house,independent,sector 3 phase 3 extension,,Built Up area: 1000 (92.9 sq.m.),1000.0,1.0,1,0,1.0,,Undefined,,,1000.0,,0,0,0,0,0,0,0,1000.0
flat,pareena mi casa,sector 68,8504.0,Super Built up area 1999(185.71 sq.m.),1999.0,4.0,4,3,2.0,,New Property,1.7,1999.0,,,0,0,0,0,0,0,47,499.75
flat,orris aster court,sector 85,5671.0,Built Up area: 1587 (147.44 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),1640.0,3.0,3,3,8.0,,Relatively New,0.93,,1587.0,1250.0,0,0,0,0,0,0,0,546.6666666666666
flat,breez global hill view,sohna road,5776.0,Carpet area: 554 (51.47 sq.m.),554.0,2.0,2,2,19.0,North,Relatively New,0.32,,,554.0,0,0,0,0,0,2,21,277.0
