property_type,society,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,Price_in_Crore,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,luxury_score_bin
flat,m3m heights,sector 65,15794.0,2.0,2,2,26.0,Under Construction,1.99,1260.0,0,0,0,0,0,0,48,"[0, 50)"
flat,trisara our homes 3,sohna road,4339.0,1.0,1,0,2.0,Relatively New,0.21,484.0,0,0,0,0,0,0,0,"[0, 50)"
flat,sare crescent parc,sector 92,5000.0,2.0,2,3,2.0,Moderately Old,0.5,1000.0,0,0,0,0,0,0,38,"[0, 50)"
flat,breez global heights,sohna road,6422.0,2.0,2,2,2.0,New Property,0.42,623.0,0,0,0,0,0,0,73,"[50, 100)"
flat,godrej air,sector 85,14541.0,2.0,2,3,30.0,Under Construction,1.3,1016.0,0,0,0,0,0,0,111,"[100, 150)"
flat,emaar mgf emerald estate,sector 65,12401.0,3.0,3,3,9.0,Relatively New,1.73,1395.0,0,1,0,0,0,1,159,"[150, 200)"
flat,mapsko royale ville,sector 82,6425.0,3.0,4,2,15.0,Relatively New,1.15,1790.0,0,1,0,1,0,2,104,"[100, 150)"
flat,godrej oasis,sector 88a,8367.0,2.0,2,3+,9.0,Relatively New,1.45,123.0,1,0,0,0,0,1,85,"[50, 100)"
flat,gls avenue 51,sector 92,6000.0,3.0,3,1,10.0,Relatively New,0.45,852.0,0,0,0,0,0,0,0,"[0, 50)"
flat,smart world orchard,sector 61,13739.0,2.0,2,2,3.0,New Property,1.58,1307.0,1,0,0,0,0,0,15,"[0, 50)"
flat,dlf the ultima,sector 81,14603.0,3.0,4,3+,27.0,Relatively New,2.3,1790.0,0,1,0,0,0,2,119,"[100, 150)"
flat,paras irene,sector 70a,8451.0,2.0,2,3,6.0,Moderately Old,1.2,1420.0,0,0,0,0,0,0,42,"[0, 50)"
flat,dlf the ultima,sector 81,11175.0,3.0,3,3+,14.0,Relatively New,2.35,1550.0,1,1,0,1,1,1,49,"[0, 50)"
flat,orchid petals,sector 49,11887.0,3.0,3,3,0.0,Relatively New,2.45,2061.0,1,0,0,0,0,0,49,"[0, 50)"
flat,spaze privy at,sector 84,7453.0,2.0,2,3,3.0,Relatively New,1.2,1610.0,1,0,0,0,0,2,133,"[100, 150)"
house,independent,sector 12,3508.771929824562,2.0,5,1,3.0,Old Property,0.7200000000000001,2052.0,0,0,0,0,0,0,31,"[0, 50)"
flat,ss the leaf,sector 85,7683.0,3.0,4,3,2.0,Relatively New,1.85,2408.0,1,1,0,0,0,2,49,"[0, 50)"
flat,tulip white,sector 69,6000.0,3.0,2,3+,1.0,Relatively New,0.9,1326.0,0,0,0,0,0,2,149,"[100, 150)"
flat,la vida by tata housing,sector 113,10335.0,3.0,4,3+,5.0,Relatively New,2.78,2350.0,0,1,0,0,0,0,174,"[150, 200)"
house,independent,sector 23,1775.0000000000002,3.0,3,2,2.0,Moderately Old,0.35500000000000004,2000.0,0,0,1,1,0,0,28,"[0, 50)"
house,international city by sobha phase 2,sector 109,7241.152263374485,4.0,5,3+,3.0,New Property,1.7596,2430.0,1,1,1,1,0,0,138,"[100, 150)"
flat,vatika gurgaon,sector 83,6667.0,2.0,2,2,12.0,Relatively New,0.83,1154.0,0,0,0,1,0,0,165,"[150, 200)"
flat,sbtl caladium,sector 109,6542.0,3.0,2,3,8.0,Relatively New,1.26,1880.0,0,0,0,0,0,0,103,"[100, 150)"
house,independent,sector 31,18288.474810213942,4.0,4,3,2.0,Old Property,2.65,1449.0,0,0,1,0,0,2,70,"[50, 100)"
flat,lagoon apartment,ambience island,12000.0,3.0,4,3,2.0,Moderately Old,3.0,2841.0,0,0,0,0,0,0,0,"[0, 50)"
flat,tulip violet,sector 69,8967.0,3.0,3,1,12.0,Relatively New,1.38,1538.0,0,0,0,1,0,0,86,"[50, 100)"
flat,shapoorji pallonji joyville gurugram,sector 102,10383.0,2.0,2,2,14.0,Relatively New,0.95,915.0,0,0,0,0,0,0,0,"[0, 50)"
flat,signature the serenas,sohna road,57.0,1.0,1,2,1.0,Relatively New,0.28,55467.0,1,0,0,0,0,0,37,"[0, 50)"
flat,rof ananda,sector 95,5500.0,3.0,2,2,14.0,New Property,0.55,847.0,1,0,0,0,0,1,30,"[0, 50)"
flat,m3m golfestate,sector 65,18139.0,3.0,3,3,19.0,Moderately Old,6.1,3080.0,1,1,0,0,0,2,174,"[150, 200)"
flat,dlf the ultima,sector 81,10699.0,3.0,3,3+,11.0,Relatively New,2.25,1600.0,1,1,0,1,1,1,49,"[0, 50)"
house,independent,sector 25,37283.950617283954,2.0,4,3,3.0,Old Property,5.033333333333333,1350.0,0,0,0,0,0,0,40,"[0, 50)"
flat,shree vardhman victoria,sector 70,8359.0,3.0,3,3,5.0,New Property,1.63,1319.0,0,1,0,0,1,0,49,"[0, 50)"
flat,tulip violet,sector 69,8731.0,4.0,4,1,12.0,Relatively New,1.72,1970.0,0,0,0,0,0,0,86,"[50, 100)"
flat,sidhartha ncr greens,sector 95,5657.0,2.0,2,3,13.0,New Property,0.56,990.0,0,0,0,0,0,0,8,"[0, 50)"
flat,proxima tower,sector 37c,4601.0,2.0,2,3,5.0,Under Construction,0.6,1304.0,1,0,0,1,0,0,55,"[50, 100)"
flat,unitech south park,sector 70,7001.0,3.0,3,2,1.0,Under Construction,1.13,1610.0,0,0,0,0,0,0,46,"[0, 50)"
flat,bptp park generations,sector 37d,9868.0,3.0,2,3+,17.0,Relatively New,1.5,1520.0,0,0,0,0,0,0,42,"[0, 50)"
flat,dlf new town heights,sector 91,6346.0,4.0,4,3+,11.0,Moderately Old,1.65,2364.0,0,1,0,0,0,0,72,"[50, 100)"
house,independent,sector 3 phase 3 extension,2350.0,1.0,1,0,1.0,Relatively New,0.235,1000.0,0,0,0,0,0,0,0,"[0, 50)"
flat,pareena mi casa,sector 68,8504.0,4.0,4,3,2.0,New Property,1.7,1999.0,0,0,0,0,0,0,47,"[0, 50)"
flat,orris aster court,sector 85,5671.0,3.0,3,3,8.0,Relatively New,0.93,1587.0,0,0,0,0,0,0,0,"[0, 50)"
flat,breez global hill view,sohna road,5776.0,2.0,2,2,19.0,Relatively New,0.32,630.0,0,0,0,0,0,2,21,"[0, 50)"
house,independent,shivpuri,51002.89855072464,4.0,4,2,3.0,Old Property,1.7596,345.0,1,0,1,1,0,0,38,"[0, 50)"
flat,ansal maple crescent,sector 43,10037.0,3.0,3,3,2.0,Old Property,1.35,1320.0,0,0,0,0,1,2,93,"[50, 100)"
flat,m3m heights,sector 65,13612.0,2.0,2,3,5.0,Under Construction,2.25,1628.0,0,0,0,0,0,0,48,"[0, 50)"
flat,breez global hill view,sohna road,5404.0,2.0,2,2,6.0,New Property,0.2999,631.0,0,0,0,0,0,0,109,"[100, 150)"
flat,paras dews,sector 106,6053.0,3.0,4,3,5.0,Relatively New,1.15,1305.0,1,1,0,0,0,0,49,"[0, 50)"
flat,godrej frontier,sector 80,6189.0,3.0,4,2,10.0,Moderately Old,1.4,1854.0,0,0,1,1,0,0,111,"[100, 150)"
flat,the penthouses at the hibiscus,sector 50,8888.0,4.0,3,3,7.0,Moderately Old,8.0,10227.0,0,1,0,0,0,0,35,"[0, 50)"
flat,adani aangan galleria,sector 89,4941.0,2.0,2,2,3.0,Relatively New,0.42,850.0,0,0,0,0,0,0,0,"[0, 50)"
flat,ss,sector 85,7432.0,4.0,4,3,8.0,Relatively New,2.09,2600.0,1,1,0,1,0,0,49,"[0, 50)"
house,unitech aspen greens,sector 50,14545.940170940172,4.0,4,2,2.0,Old Property,3.141923076923077,2160.0,0,1,0,0,0,0,29,"[0, 50)"
flat,assotech blith,sector 99,6667.0,3.0,4,0,15.0,New Property,1.6,2400.0,0,0,0,0,0,0,51,"[50, 100)"
flat,chintamani,sector 103,8509.0,3.0,3,3,1.0,Relatively New,1.57,1845.0,0,0,0,0,0,0,0,"[0, 50)"
flat,ats kocoon,sector 109,10645.0,3.0,3,3,19.0,Relatively New,1.65,1650.0,0,0,1,0,0,2,159,"[150, 200)"
flat,dlf the ultima,sector 81,11257.0,3.0,3,2,10.0,Relatively New,2.4,1800.0,0,1,0,0,0,1,174,"[150, 200)"
flat,ireo uptown,sector 66,11219.0,2.0,3,3,1.0,Relatively New,1.5,1330.0,0,1,0,0,1,2,79,"[50, 100)"
flat,ild greens,sector 37c,9223.0,2.0,2,3+,11.0,Relatively New,0.95,1170.0,0,0,1,1,0,2,119,"[100, 150)"
flat,dlf regal gardens,sector 90,8999.0,4.0,4,3+,5.0,Relatively New,2.05,2215.0,0,0,0,0,0,2,49,"[0, 50)"
house,independent,sector 39,4027.777777777778,5.0,5,3+,4.0,Moderately Old,1.8125,4500.0,0,1,0,0,0,2,27,"[0, 50)"
flat,the close north,sector 50,11358.0,3.0,3,3,8.0,Moderately Old,2.35,1900.0,0,0,0,0,0,2,49,"[0, 50)"
flat,brisk lumbini terrace homes,sector 109,6617.0,3.0,3,1,4.0,New Property,1.5,2576.0,0,1,0,0,0,0,37,"[0, 50)"
flat,piedmont taksila heights,sector 37c,4792.0,3.0,3,3,7.0,Relatively New,1.05,1920.0,0,0,0,0,0,2,81,"[50, 100)"
flat,sobha city,sector 108,14463.0,3.0,3,3,17.0,Relatively New,2.33,1711.0,0,0,1,0,0,2,159,"[150, 200)"
flat,m3m sierra 68,sector 68,9002.0,2.0,2,3,1.0,Relatively New,1.2,852.0,0,0,0,0,0,1,76,"[50, 100)"
flat,dlf the primus,sector 82a,11439.0,4.0,4,3+,2.0,Relatively New,2.6,2273.0,0,0,0,0,1,0,38,"[0, 50)"
