property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,Price_in_Crore
0.0,168.0,2.0,2,2.0,4.0,1260.0,0,0,0,1.0,0.0,1.99
0.0,221.0,1.0,1,0.0,3.0,484.0,0,0,0,1.0,1.0,0.21
0.0,201.0,2.0,2,3.0,0.0,1000.0,0,0,0,1.0,1.0,0.5
0.0,221.0,2.0,2,2.0,1.0,623.0,0,0,0,2.0,1.0,0.42
0.0,193.0,2.0,2,3.0,4.0,1016.0,0,0,0,2.0,0.0,1.3
0.0,168.0,3.0,3,3.0,3.0,1395.0,1,0,1,0.0,2.0,1.73
0.0,189.0,3.0,4,2.0,3.0,1790.0,1,0,2,2.0,0.0,1.15
0.0,195.0,2.0,2,4.0,3.0,123.0,0,0,1,2.0,2.0,1.45
0.0,201.0,3.0,3,1.0,3.0,852.0,0,0,0,1.0,2.0,0.45
0.0,164.0,2.0,2,2.0,1.0,1307.0,0,0,0,1.0,2.0,1.58
0.0,188.0,3.0,4,4.0,3.0,1790.0,1,0,2,2.0,0.0,2.3
0.0,177.0,2.0,2,3.0,0.0,1420.0,0,0,0,1.0,2.0,1.2
0.0,188.0,3.0,3,4.0,3.0,1550.0,1,0,1,1.0,0.0,2.35
0.0,148.0,3.0,3,3.0,3.0,2061.0,0,0,0,1.0,1.0,2.45
0.0,192.0,2.0,2,3.0,3.0,1610.0,0,0,2,2.0,2.0,1.2
1.0,98.0,2.0,5,1.0,2.0,2052.0,0,0,0,1.0,2.0,0.7200000000000001
0.0,193.0,3.0,4,3.0,3.0,2408.0,1,0,2,1.0,1.0,1.85
0.0,173.0,3.0,2,4.0,3.0,1326.0,0,0,2,2.0,1.0,0.9
0.0,97.0,3.0,4,4.0,3.0,2350.0,1,0,0,0.0,2.0,2.78
1.0,113.0,3.0,3,2.0,0.0,2000.0,0,1,0,1.0,1.0,0.355
1.0,91.0,4.0,5,4.0,1.0,2430.0,1,1,0,2.0,2.0,1.7596
0.0,191.0,2.0,2,2.0,3.0,1154.0,0,0,0,0.0,0.0,0.83
0.0,91.0,3.0,2,3.0,3.0,1880.0,0,0,0,2.0,2.0,1.26
1.0,125.0,4.0,4,3.0,2.0,1449.0,0,1,2,2.0,1.0,2.65
0.0,4.0,3.0,4,3.0,0.0,2841.0,0,0,0,1.0,1.0,3.0
0.0,173.0,3.0,3,1.0,3.0,1538.0,0,0,0,2.0,0.0,1.38
0.0,84.0,2.0,2,2.0,3.0,915.0,0,0,0,1.0,0.0,0.95
0.0,221.0,1.0,1,2.0,3.0,55467.0,0,0,0,1.0,1.0,0.28
0.0,203.0,3.0,2,2.0,1.0,847.0,0,0,1,1.0,0.0,0.55
0.0,168.0,3.0,3,3.0,0.0,3080.0,1,0,2,0.0,0.0,6.1
0.0,188.0,3.0,3,4.0,3.0,1600.0,1,0,1,1.0,0.0,2.25
1.0,115.0,2.0,4,3.0,2.0,1350.0,0,0,0,1.0,2.0,5.033333333333333
0.0,176.0,3.0,3,3.0,1.0,1319.0,1,0,0,1.0,2.0,1.63
0.0,173.0,4.0,4,1.0,3.0,1970.0,0,0,0,2.0,0.0,1.72
0.0,203.0,2.0,2,3.0,1.0,990.0,0,0,0,1.0,0.0,0.56
0.0,133.0,2.0,2,3.0,4.0,1304.0,0,0,0,2.0,2.0,0.6
0.0,176.0,3.0,3,2.0,4.0,1610.0,0,0,0,1.0,1.0,1.13
0.0,134.0,3.0,2,4.0,3.0,1520.0,0,0,0,1.0,0.0,1.5
0.0,200.0,4.0,4,4.0,0.0,2364.0,1,0,0,2.0,0.0,1.65
1.0,122.0,1.0,1,0.0,3.0,1000.0,0,0,0,1.0,1.0,0.235
0.0,172.0,4.0,4,3.0,1.0,1999.0,0,0,0,1.0,1.0,1.7
0.0,193.0,3.0,3,3.0,3.0,1587.0,0,0,0,1.0,2.0,0.93
0.0,221.0,2.0,2,2.0,3.0,630.0,0,0,2,1.0,0.0,0.32
1.0,219.0,4.0,4,2.0,2.0,345.0,0,1,0,1.0,2.0,1.7596
0.0,143.0,3.0,3,3.0,2.0,1320.0,0,0,2,2.0,1.0,1.35
0.0,168.0,2.0,2,3.0,4.0,1628.0,0,0,0,1.0,2.0,2.25
0.0,221.0,2.0,2,2.0,1.0,631.0,0,0,0,2.0,2.0,0.2999
0.0,88.0,3.0,4,3.0,3.0,1305.0,1,0,0,1.0,2.0,1.15
0.0,187.0,3.0,4,2.0,0.0,1854.0,0,1,0,2.0,2.0,1.4
0.0,151.0,4.0,3,3.0,0.0,10227.0,1,0,0,1.0,2.0,8.0
0.0,197.0,2.0,2,2.0,3.0,850.0,0,0,0,1.0,2.0,0.42
0.0,193.0,4.0,4,3.0,3.0,2600.0,1,0,0,1.0,2.0,2.09
1.0,151.0,4.0,4,2.0,2.0,2160.0,1,0,0,1.0,1.0,3.141923076923077
0.0,204.0,3.0,4,0.0,1.0,2400.0,0,0,0,2.0,0.0,1.6
0.0,85.0,3.0,3,3.0,3.0,1845.0,0,0,0,1.0,1.0,1.57
0.0,91.0,3.0,3,3.0,3.0,1650.0,0,1,2,0.0,0.0,1.65
0.0,188.0,3.0,3,2.0,3.0,1800.0,1,0,1,0.0,2.0,2.4
0.0,169.0,2.0,3,3.0,3.0,1330.0,1,0,2,2.0,1.0,1.5
0.0,133.0,2.0,2,4.0,3.0,1170.0,0,1,2,2.0,0.0,0.95
0.0,199.0,4.0,4,4.0,3.0,2215.0,0,0,2,1.0,2.0,2.05
1.0,136.0,5.0,5,4.0,0.0,4500.0,1,0,2,1.0,2.0,1.8125
0.0,151.0,3.0,3,3.0,0.0,1900.0,0,0,2,1.0,2.0,2.35
0.0,91.0,3.0,3,1.0,1.0,2576.0,1,0,0,1.0,2.0,1.5
0.0,133.0,3.0,3,3.0,3.0,1920.0,0,0,2,2.0,2.0,1.05
0.0,90.0,3.0,3,3.0,3.0,1711.0,0,1,2,0.0,0.0,2.33
0.0,172.0,2.0,2,3.0,3.0,852.0,0,0,1,2.0,1.0,1.2
0.0,190.0,4.0,4,4.0,3.0,2273.0,0,0,0,1.0,1.0,2.6
0.0,191.0,3.0,4,4.0,3.0,1705.0,1,0,2,2.0,2.0,1.8
0.0,201.0,3.0,2,2.0,3.0,1556.0,0,0,0,1.0,0.0,0.75
0.0,221.0,1.0,1,1.0,1.0,511.0,0,0,0,1.0,0.0,0.21
0.0,136.0,3.0,3,4.0,2.0,2400.0,0,0,0,1.0,1.0,2.0
0.0,191.0,4.0,4,3.0,3.0,2000.0,1,0,0,2.0,2.0,1.42
1.0,64.0,2.0,2,3.0,0.0,1023.0,0,0,0,1.0,2.0,1.7596
1.0,151.0,3.0,4,2.0,0.0,3240.0,1,0,2,2.0,1.0,3.141923076923077
0.0,172.0,2.0,2,2.0,1.0,1180.0,0,0,0,1.0,2.0,0.84
0.0,194.0,3.0,4,3.0,3.0,1895.0,1,0,0,2.0,2.0,1.65
0.0,182.0,2.0,2,2.0,4.0,842.0,0,0,0,1.0,2.0,0.55
1.0,116.0,6.0,8,4.0,3.0,12500.0,1,1,2,2.0,2.0,1.7596
0.0,191.0,3.0,2,2.0,0.0,1500.0,0,0,0,2.0,1.0,1.04
0.0,203.0,2.0,2,3.0,3.0,990.0,0,0,0,1.0,0.0,0.55
0.0,173.0,3.0,3,2.0,3.0,1578.0,0,0,2,1.0,0.0,1.28
0.0,221.0,3.0,3,4.0,3.0,1466.0,0,0,0,1.0,2.0,1.3
0.0,163.0,4.0,4,3.0,3.0,2650.0,1,0,2,1.0,0.0,3.75
0.0,184.0,2.0,2,2.0,0.0,1224.0,0,0,0,1.0,2.0,0.7
0.0,193.0,2.0,2,3.0,3.0,1670.0,0,0,0,1.0,0.0,1.19
0.0,221.0,2.0,2,2.0,1.0,655.0,0,0,0,1.0,1.0,0.27
0.0,197.0,3.0,3,3.0,1.0,1989.0,0,0,0,1.0,1.0,1.5
0.0,191.0,4.0,4,3.0,3.0,2216.0,1,0,0,1.0,2.0,1.4
1.0,137.0,3.0,4,1.0,0.0,990.0,0,0,0,1.0,1.0,0.4544444444444444
1.0,158.0,3.0,6,4.0,0.0,1530.0,0,0,2,1.0,1.0,1.4874418604651165
0.0,163.0,4.0,5,3.0,3.0,2800.0,1,0,0,0.0,0.0,3.75
1.0,174.0,2.0,2,2.0,2.0,1440.0,0,0,0,1.0,1.0,0.526
1.0,56.0,2.0,2,1.0,2.0,720.0,0,0,0,1.0,1.0,1.7596
0.0,176.0,2.0,2,3.0,3.0,1350.0,0,0,0,1.0,1.0,1.23
0.0,205.0,2.0,2,1.0,3.0,619.0,0,0,0,2.0,2.0,0.35
0.0,221.0,2.0,2,1.0,1.0,603.0,0,0,0,1.0,2.0,0.45
0.0,134.0,2.0,2,3.0,1.0,610.0,0,0,0,2.0,2.0,0.55
0.0,197.0,2.0,2,2.0,1.0,1253.0,0,1,0,2.0,2.0,1.1
0.0,221.0,2.0,2,1.0,1.0,511.0,0,0,0,1.0,1.0,0.36
0.0,176.0,2.0,2,2.0,3.0,1534.0,0,0,0,2.0,2.0,1.15
0.0,96.0,4.0,5,3.0,3.0,4800.0,0,0,0,2.0,0.0,6.5
0.0,110.0,2.0,2,3.0,0.0,1565.0,0,0,0,2.0,2.0,1.26
0.0,168.0,3.0,3,4.0,3.0,2380.0,1,0,2,1.0,2.0,4.7
0.0,203.0,2.0,2,2.0,1.0,670.0,0,0,2,2.0,0.0,0.415
0.0,160.0,2.0,2,2.0,3.0,1375.0,0,0,0,1.0,2.0,2.2
0.0,193.0,2.0,2,2.0,3.0,1978.0,0,0,2,1.0,0.0,1.25
0.0,84.0,3.0,4,4.0,3.0,1931.0,1,0,0,2.0,0.0,1.75
0.0,133.0,3.0,5,4.0,3.0,1400.0,1,0,0,1.0,2.0,0.99
0.0,197.0,3.0,2,3.0,1.0,1103.0,0,0,0,1.0,1.0,1.16
0.0,96.0,4.0,6,4.0,3.0,3573.33,1,0,0,2.0,0.0,5.31
0.0,91.0,3.0,4,4.0,1.0,2585.0,1,0,0,2.0,2.0,2.3
0.0,185.0,2.0,2,3.0,3.0,1450.0,0,0,0,2.0,2.0,0.9
0.0,84.0,3.0,3,3.0,3.0,1162.0,1,0,0,2.0,2.0,1.35
0.0,194.0,2.0,2,3.0,3.0,1480.0,0,0,0,1.0,2.0,1.3
0.0,221.0,2.0,2,2.0,0.0,1350.0,0,0,0,2.0,2.0,0.75
0.0,168.0,3.0,3,3.0,4.0,1867.0,0,0,0,2.0,0.0,2.8
0.0,110.0,4.0,4,4.0,1.0,5114.0,0,0,0,2.0,1.0,3.35
0.0,84.0,3.0,3,3.0,1.0,1500.0,0,0,0,2.0,2.0,2.12
0.0,188.0,2.0,2,2.0,0.0,1428.0,0,0,0,1.0,2.0,0.75
0.0,158.0,4.0,4,4.0,2.0,2600.0,0,1,2,2.0,2.0,2.05
0.0,42.0,3.0,4,3.0,3.0,2778.0,1,0,0,1.0,2.0,0.75
0.0,176.0,3.0,4,3.0,3.0,1319.0,1,0,2,1.0,2.0,1.65
0.0,197.0,2.0,2,2.0,4.0,1253.0,0,0,0,1.0,1.0,0.85
0.0,178.0,4.0,4,3.0,0.0,2193.0,1,0,0,2.0,0.0,1.32
0.0,164.0,3.0,3,2.0,1.0,1760.0,0,0,0,0.0,2.0,2.2
1.0,91.0,5.0,5,4.0,3.0,3600.0,1,1,0,2.0,1.0,1.7596
0.0,154.0,3.0,3,4.0,3.0,2614.0,0,0,2,2.0,2.0,1.4
0.0,143.0,3.0,3,4.0,0.0,2450.0,1,0,2,2.0,1.0,3.8
0.0,148.0,3.0,3,3.0,2.0,1591.0,1,0,0,1.0,2.0,1.79
0.0,158.0,4.0,4,4.0,3.0,2500.0,0,0,2,2.0,2.0,2.05
0.0,204.0,3.0,4,3.0,1.0,2780.0,1,0,2,0.0,1.0,2.45
0.0,133.0,2.0,2,2.0,1.0,682.0,0,0,0,1.0,2.0,0.4
0.0,84.0,2.0,2,2.0,4.0,1040.0,0,0,0,1.0,1.0,1.05
0.0,133.0,3.0,3,3.0,1.0,1500.0,0,0,2,1.0,2.0,1.05
0.0,199.0,4.0,4,4.0,3.0,2215.0,0,0,0,2.0,0.0,1.78
0.0,223.0,2.0,2,3.0,1.0,1392.0,0,0,0,1.0,0.0,1.5
0.0,199.0,3.0,4,4.0,2.0,1644.0,1,0,1,1.0,1.0,1.25
1.0,151.0,5.0,5,4.0,0.0,3240.0,0,0,0,1.0,1.0,3.141923076923077
0.0,127.0,2.0,2,2.0,4.0,623.0,0,0,0,1.0,2.0,0.4
0.0,168.0,2.0,2,2.0,3.0,1433.0,0,0,0,1.0,0.0,2.0
0.0,90.0,2.0,2,2.0,0.0,1505.0,0,0,0,2.0,0.0,0.7
0.0,84.0,3.0,3,4.0,3.0,1648.0,0,0,0,2.0,1.0,2.04
0.0,206.0,4.0,3,3.0,2.0,2052.0,1,0,2,1.0,1.0,1.25
0.0,185.0,3.0,4,4.0,3.0,1963.0,1,0,0,2.0,2.0,2.0
0.0,169.0,4.0,4,3.0,3.0,2700.0,1,0,2,0.0,2.0,3.0
0.0,96.0,4.0,6,4.0,0.0,3662.34,1,0,2,0.0,0.0,5.6
0.0,183.0,2.0,2,2.0,3.0,1140.0,0,1,2,2.0,2.0,0.75
0.0,171.0,2.0,2,2.0,3.0,795.0,0,0,0,1.0,1.0,0.555
1.0,200.0,4.0,4,4.0,0.0,3400.0,1,1,2,2.0,2.0,1.4613333333333332
0.0,90.0,2.0,2,2.0,3.0,1381.0,0,0,0,2.0,2.0,1.9
0.0,221.0,2.0,2,2.0,3.0,960.0,0,0,0,0.0,2.0,0.535
0.0,178.0,2.0,2,1.0,3.0,616.0,0,0,2,1.0,2.0,0.65
0.0,170.0,3.0,3,3.0,3.0,2048.0,0,1,1,0.0,1.0,2.8
0.0,194.0,3.0,2,3.0,3.0,1480.0,0,0,1,2.0,2.0,1.45
0.0,193.0,2.0,2,4.0,3.0,1328.0,0,1,0,2.0,0.0,1.3
1.0,147.0,4.0,4,4.0,3.0,300.0,1,1,2,0.0,2.0,3.82962962962963
1.0,10.0,4.0,4,0.0,0.0,2273.0,0,0,0,1.0,1.0,1.7596
0.0,134.0,2.0,2,3.0,0.0,1410.0,0,0,0,2.0,0.0,0.75
0.0,191.0,3.0,3,3.0,3.0,1735.0,1,0,2,2.0,0.0,1.1
0.0,91.0,3.0,2,3.0,0.0,1880.0,0,0,0,2.0,0.0,1.3
0.0,194.0,2.0,2,2.0,1.0,1360.0,0,0,0,2.0,2.0,0.78
0.0,151.0,2.0,2,2.0,0.0,1123.0,0,0,0,2.0,1.0,1.05
0.0,173.0,3.0,3,2.0,3.0,1578.0,0,0,0,2.0,2.0,1.55
1.0,116.0,4.0,4,3.0,0.0,1800.0,1,0,0,2.0,1.0,1.7596
0.0,110.0,3.0,3,4.0,2.0,1780.0,0,0,1,2.0,2.0,1.4
1.0,137.0,2.0,2,1.0,1.0,50.0,0,0,2,2.0,1.0,0.4544444444444444
1.0,98.0,2.0,4,0.0,2.0,675.0,0,0,0,1.0,1.0,0.7200000000000001
0.0,168.0,3.0,3,3.0,3.0,1650.0,1,0,2,0.0,1.0,2.35
0.0,191.0,3.0,3,3.0,3.0,1409.0,1,0,0,2.0,2.0,1.48
0.0,86.0,4.0,4,4.0,3.0,3150.0,1,0,0,0.0,2.0,2.65
1.0,137.0,2.0,4,3.0,0.0,640.0,0,0,0,1.0,1.0,0.4544444444444444
0.0,119.0,2.0,2,2.0,2.0,900.0,0,0,0,2.0,1.0,0.58
0.0,199.0,3.0,4,3.0,3.0,1648.0,1,1,0,2.0,2.0,0.85
0.0,190.0,5.0,6,4.0,1.0,5841.0,1,0,0,2.0,2.0,3.85
0.0,201.0,3.0,3,3.0,3.0,1818.0,1,0,2,2.0,0.0,1.55
0.0,193.0,4.0,4,3.0,0.0,1575.0,0,0,2,1.0,2.0,0.895
0.0,190.0,4.0,4,4.0,1.0,2045.0,1,0,1,0.0,1.0,2.85
